Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
APS7,0.09340440859221137,0.21526566087744775,-0.08664308878718067,-0.052009878410958554,0.2600737692978159,0.30924130161228963,0.31240004928945453,0.4263348547091708,0.3638272413301959,0.5656502530990554,1,0.3886460279948005,0.49986642417222854,0.3880803531214628,0.38852510450730243,0.4018004685465619,0.37860814806593796,0.3660426383280521,0.38164769231875134,0.19442546733868687,0.3043573712443471,0.3474006117586916,0.45345896263693203,0.3835029070155019,0.4294339594150553,0.3136315433930179
APS9,0.17121753624828098,0.21400238365987745,-0.074849799886718,-0.039857501677829706,0.3876326106640319,0.4026635018289462,0.27865909536086225,0.6288382410576693,0.5523428343608462,0.4400834758263041,0.3886460279948005,1,0.6199756801230284,0.5241069025389032,0.31739111463376507,0.4129468183810194,0.4228604716892461,0.45045676120480094,0.3588611828118416,0.2844497227578946,0.2959231581387515,0.26471326473335305,0.469390653128833,0.27550876413865333,0.3215044994150916,0.27557528521293567
APS10,0.1669187138289784,0.2640100244746859,-0.04878493643182017,-0.010869011733442633,0.4580523146453352,0.4441790729299181,0.2855342161791819,0.5973091327297929,0.5055241149376839,0.4760262700755889,0.49986642417222854,0.6199756801230284,1,0.5711859233229993,0.4425213944609329,0.5058280051752216,0.4619351657812076,0.418239546819249,0.4144512411799262,0.3205981784135479,0.3565985477133585,0.28611384423950126,0.4422371131284317,0.394282856976308,0.32049214269599857,0.30897745493446566
APS14,0.10643884491025982,0.33819839555571735,-0.03517882120574044,0.05873906953519514,0.47162336030158136,0.38878979667974767,0.33503317323615284,0.6018231341216712,0.4000301912291315,0.44759219796094374,0.3880803531214628,0.5241069025389032,0.5711859233229993,1,0.40475516524218397,0.5074455783611638,0.6075698274701344,0.53333510008632,0.5801318811595063,0.5131260161896495,0.45221074885581225,0.3741721876063496,0.43088199989223913,0.3740348356937472,0.31177095475265365,0.37997085110479667
APS11,0.19219178208562887,0.19608102690948523,-0.20327140798053459,-0.0988924243994658,0.32825322228002635,0.22027028301393528,0.3269252961128379,0.3050100725804235,0.2544076443593263,0.4433901747845052,0.38852510450730243,0.31739111463376507,0.4425213944609329,0.40475516524218397,1,0.4693049787216979,0.49060562487732723,0.27834610454408415,0.5476539031865186,0.43130312329871695,0.3462378933264812,0.3861728750770017,0.33265489060273973,0.2727788032573513,0.2725862895577874,0.36560151632632154
APS12,0.19200599234007432,0.2920368892755979,-0.12155093956078991,-0.11490580396624174,0.3699785521170142,0.33498062172228,0.2816283907825671,0.37749996753492393,0.34271264710609706,0.3353819170895683,0.4018004685465619,0.4129468183810194,0.5058280051752216,0.5074455783611638,0.4693049787216979,1,0.5374178043947345,0.49482864142990635,0.5697986156017443,0.31603482377843234,0.3682542396871575,0.3321290968870228,0.4106023434487634,0.2826968624797169,0.37458102654328324,0.33276733055705626
APS13,0.08219854558224388,0.11192494299415415,-0.007666842279018817,0.032111613839277894,0.4626278638982185,0.40525156691846626,0.28035311894348797,0.44771963885217314,0.3418122023601708,0.3375903087018148,0.37860814806593796,0.4228604716892461,0.4619351657812076,0.6075698274701344,0.49060562487732723,0.5374178043947345,1,0.5031966299677074,0.5866446718691648,0.48599973011963593,0.4178325235816528,0.32814443665335,0.39719012259964187,0.3286029393655776,0.4101204918898565,0.374967306870726
APS15,0.05641453367821076,0.1748717433318327,0.023974833136319467,0.04226447729526933,0.33026613729817333,0.36545491876590824,0.28744520703359794,0.3863212460184737,0.37655920118627156,0.23208603568024258,0.3660426383280521,0.45045676120480094,0.418239546819249,0.53333510008632,0.27834610454408415,0.49482864142990635,0.5031966299677074,1,0.4972211295012563,0.3348009232595926,0.32914404737763675,0.34042240154940195,0.37807957156734645,0.26130027704681197,0.3790014933739647,0.2707153524099748
APS16,0.181562454103102,0.2223386640049706,-0.18501831376939137,-0.10332348797132844,0.3667486663854369,0.29065365240475655,0.31524102466063714,0.39532058927877545,0.3229445675611799,0.45107209407244103,0.38164769231875134,0.3588611828118416,0.4144512411799262,0.5801318811595063,0.5476539031865186,0.5697986156017443,0.5866446718691648,0.4972211295012563,1,0.5267785467088291,0.468119384737861,0.4118677625724729,0.45122987574133666,0.2584119895861361,0.26510193095002477,0.46834674467837706
APS18,0.15428987232103242,0.2541632928254812,-0.09482857773681953,0.05291918743714819,0.2926137764801747,0.36757896579384913,0.24561410109225065,0.3580548024827182,0.18256829896595062,0.2868883841573853,0.19442546733868687,0.2844497227578946,0.3205981784135479,0.5131260161896495,0.43130312329871695,0.31603482377843234,0.48599973011963593,0.3348009232595926,0.5267785467088291,1,0.5577851361729858,0.41361577171205754,0.4080492467371039,0.33073433056922297,0.2628172199186516,0.29636835437635173
APS19,0.2155139284597278,0.2377921143595089,-0.041199581910082536,0.034110270741242524,0.30256970600907185,0.2807964437997996,0.26900416342530786,0.2812965965470098,0.10711585698081567,0.2735355711911738,0.3043573712443471,0.2959231581387515,0.3565985477133585,0.45221074885581225,0.3462378933264812,0.3682542396871575,0.4178325235816528,0.32914404737763675,0.468119384737861,0.5577851361729858,1,0.5171206494324478,0.45977008883428855,0.27887849070566006,0.34991874373462123,0.357337515686592
APS20,0.09781258459414367,0.18204941518479179,-0.1779465328060445,0.0466785062896872,0.2871979160280427,0.16130211957580848,0.2831259137750503,0.2245118066429548,0.0719553792137896,0.29023664445092334,0.3474006117586916,0.26471326473335305,0.28611384423950126,0.3741721876063496,0.3861728750770017,0.3321290968870228,0.32814443665335,0.34042240154940195,0.4118677625724729,0.41361577171205754,0.5171206494324478,1,0.3842474004880234,0.28662077919562573,0.20904477944955127,0.3019535703160185
APS21,0.20627045785630588,0.20421926016540579,-0.11693912937347126,-0.076110471161937,0.2675069669028489,0.268677274755663,0.16374052146580498,0.4366307171818146,0.33055983800020566,0.39046434297160265,0.45345896263693203,0.469390653128833,0.4422371131284317,0.43088199989223913,0.33265489060273973,0.4106023434487634,0.39719012259964187,0.37807957156734645,0.45122987574133666,0.4080492467371039,0.45977008883428855,0.3842474004880234,1,0.29024650574586647,0.3645230666442145,0.38188130791298674
PP1,0.09145372384022969,0.1493756638872838,-0.0028907538965067757,0.04140786408819339,0.38678419313495865,0.23368564705996936,0.2214712945348457,0.22124791321520573,0.2750958701703291,0.384957622777678,0.3835029070155019,0.27550876413865333,0.394282856976308,0.3740348356937472,0.2727788032573513,0.2826968624797169,0.3286029393655776,0.26130027704681197,0.2584119895861361,0.33073433056922297,0.27887849070566006,0.28662077919562573,0.29024650574586647,1,0.47715751848497506,0.4503174080701952
PP2,0.12044314347422244,0.16910164831568608,-0.016384893893803636,-0.025951041315351926,0.2351608828438794,0.3009377621082789,0.18758833348714823,0.2596095753207891,0.19263549448359657,0.23398962256481268,0.4294339594150553,0.3215044994150916,0.32049214269599857,0.31177095475265365,0.2725862895577874,0.37458102654328324,0.4101204918898565,0.3790014933739647,0.26510193095002477,0.2628172199186516,0.34991874373462123,0.20904477944955127,0.3645230666442145,0.47715751848497506,1,0.41193181818181823
PP3,0.21191894864451796,0.06486090620327686,-0.03951650880270288,-0.013494541483983,0.2351608828438794,0.14428522840807892,0.12619578798226333,0.22161793015189313,0.16636701796310613,0.36818955315345525,0.3136315433930179,0.27557528521293567,0.30897745493446566,0.37997085110479667,0.36560151632632154,0.33276733055705626,0.374967306870726,0.2707153524099748,0.46834674467837706,0.29636835437635173,0.357337515686592,0.3019535703160185,0.38188130791298674,0.4503174080701952,0.41193181818181823,1
