Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
APS7,0.10765023501835856,0.2341206358131911,-0.062272322942075437,0.11445930705502061,0.377836819544644,0.4744827838947664,0.4937574205873492,0.3636398584860034,0.41568164331867546,0.5978749806457788,1,0.4629903050460435,0.5196898007750078,0.41201954276442215,0.22529087912293894,0.4567313278348999,0.35784750063607657,0.4281353437862072,0.48641490866703113,0.36937911889435265,0.3285651980329529,0.18933044960036022,0.3830796750667307,0.34385058628273213,0.39529356911834745,0.23031856994827715
APS9,0.08571874646670018,0.30471759298623124,-0.02416202325176656,0.06555519803412731,0.4203128709916723,0.5296456167719952,0.4077180509961487,0.6005223935731835,0.5595722265910131,0.4801717245467988,0.4629903050460435,1,0.7259828458989582,0.568904319373932,0.33080086256385655,0.5444356134720564,0.528779518266436,0.3730955083972293,0.5016423145220668,0.37605879199616665,0.341439946540935,0.311032369798583,0.36872549208483335,0.39277225744103406,0.3559843071721761,0.3455252432581608
APS10,0.10600203263208023,0.2066276967535346,-0.010078963918255244,0.12275818582128796,0.45873181024147935,0.5684315208465277,0.4175501643711333,0.4785115765395771,0.6230864585574918,0.5070995607905222,0.5196898007750078,0.7259828458989582,1,0.5448086600055219,0.387073253464133,0.5790056530201458,0.5515320605735339,0.3670577569340093,0.41121034482181723,0.38950204711814174,0.3381944481605184,0.23482122956831575,0.2603569958819862,0.39631941904842277,0.3818593778183856,0.3194617405000881
APS14,0.19482964417594964,0.37059606672596335,0.03165089722015535,0.1453249859581947,0.377442347828641,0.4031456717624662,0.262695558953916,0.4363968026229167,0.5919337624021604,0.45871397668482955,0.41201954276442215,0.568904319373932,0.5448086600055219,1,0.40586146785768795,0.6359081990023736,0.5819690063361019,0.44882289481923715,0.5859517296941058,0.4619266137723444,0.39995326263057757,0.4068262732672338,0.3544646049563077,0.48898445230280924,0.3937070226362332,0.27361907585454764
APS11,0.18241777345127827,0.2777258056478478,0.0018705131515330147,0.19599759797097546,0.2498406102870649,0.3507438495493418,0.21623091792436316,0.32993412268701916,0.38556201230610154,0.2654860580662282,0.22529087912293894,0.33080086256385655,0.387073253464133,0.40586146785768795,1,0.5227538416523347,0.5194142453041338,0.3729931963382885,0.34840486193633086,0.5292998918899705,0.5456785464129212,0.3284527462524815,0.3402747032747751,0.4668294744219838,0.3558509256060791,0.2909709213860903
APS12,0.22580791444835555,0.40039296784669554,-0.03973919975156252,0.15815395825500925,0.388542941615809,0.44825177411113354,0.3883599136388457,0.4144523284459782,0.4696455539041721,0.47605157916982455,0.4567313278348999,0.5444356134720564,0.5790056530201458,0.6359081990023736,0.5227538416523347,1,0.6774856120409245,0.37782665827864903,0.481458509119203,0.5313531798768427,0.42493207576123815,0.35868695632014724,0.25460760321703335,0.5608479848324724,0.49057249096921196,0.3976552796220983
APS13,0.18810273531700267,0.368222336347002,0.04538499244474456,0.2802366181779413,0.4312473319801339,0.5408389989203414,0.3048415629351735,0.4460776033274489,0.5520034267270678,0.43979512835594264,0.35784750063607657,0.528779518266436,0.5515320605735339,0.5819690063361019,0.5194142453041338,0.6774856120409245,1,0.37366510366689415,0.4670121767762791,0.5963115246947859,0.46288214683719864,0.38487412124864434,0.4389243152771657,0.530877093475641,0.5005645400026801,0.4641030346973878
APS15,0.15255697479729158,0.17225291388933311,0.010609753899915265,0.16563435252678643,0.2628119036240859,0.336761259685421,0.2555326779888347,0.16718080856412484,0.3297255487329767,0.42087613268213114,0.4281353437862072,0.3730955083972293,0.3670577569340093,0.44882289481923715,0.3729931963382885,0.37782665827864903,0.37366510366689415,1,0.5262090225020579,0.35850099518848594,0.33794203329590977,0.2600186416212762,0.2714964135242111,0.2932439945468827,0.30980017735954984,0.24140968239638583
APS16,0.2846546102178328,0.38674286475497055,-0.03739987162772395,0.20651527409032358,0.2982554066091449,0.37113687525834776,0.2727998711190803,0.23167727931343227,0.3951447640858211,0.5446371879136194,0.48641490866703113,0.5016423145220668,0.41121034482181723,0.5859517296941058,0.34840486193633086,0.481458509119203,0.4670121767762791,0.5262090225020579,1,0.4859966074793119,0.4483119221902555,0.30681124239360513,0.4058032936006674,0.4605463835304471,0.4904960091728533,0.32594415066058796
APS18,0.2479431130778034,0.39022096574934784,0.013524596395536295,0.17383251042169853,0.29614816933401317,0.39223463310732204,0.3231926382388461,0.2867847657832514,0.35599575424920155,0.2721801870976918,0.36937911889435265,0.37605879199616665,0.38950204711814174,0.4619266137723444,0.5292998918899705,0.5313531798768427,0.5963115246947859,0.35850099518848594,0.4859966074793119,1,0.6057430763907946,0.4059956693609024,0.41832324740649995,0.4887784996922838,0.3722305536484381,0.34683332364251857
APS19,0.14550319469038425,0.2182236566757346,-0.048416756162351374,0.08372024286380574,0.20254791162622549,0.27441919323900443,0.21138886026859005,0.21594024843778403,0.24765064490144337,0.3015395826715215,0.3285651980329529,0.341439946540935,0.3381944481605184,0.39995326263057757,0.5456785464129212,0.42493207576123815,0.46288214683719864,0.33794203329590977,0.4483119221902555,0.6057430763907946,1,0.4702452689943525,0.59924578093861,0.5565454832082917,0.3890026275626803,0.28731652264884094
APS20,0.15554383732863272,0.2277947641730778,0.0367037648108964,0.1021132383465056,0.16372561801870558,0.259003331380778,0.19593097839136547,0.19590120002449998,0.19258222451976398,0.3795240346359149,0.18933044960036022,0.311032369798583,0.23482122956831575,0.4068262732672338,0.3284527462524815,0.35868695632014724,0.38487412124864434,0.2600186416212762,0.30681124239360513,0.4059956693609024,0.4702452689943525,1,0.38661805946947136,0.2520402668198053,0.14117782887868743,0.23545831738184528
APS21,0.12773204679977881,0.29062636742176834,-0.07813723662713075,0.015667331447148377,0.2283545064065471,0.27571106394617634,0.238393743735424,0.32340828389313697,0.2706860538057714,0.3267499778571555,0.3830796750667307,0.36872549208483335,0.2603569958819862,0.3544646049563077,0.3402747032747751,0.25460760321703335,0.4389243152771657,0.2714964135242111,0.4058032936006674,0.41832324740649995,0.59924578093861,0.38661805946947136,1,0.46930483160600295,0.3738629231103004,0.3351444893226016
PP1,0.20889320006403006,0.3073193056317076,-0.02453910009044929,0.08487273414168171,0.3045637493011282,0.28985186798069945,0.21013062154960122,0.2994085184776172,0.4018757900117774,0.30479732570550216,0.34385058628273213,0.39277225744103406,0.39631941904842277,0.48898445230280924,0.4668294744219838,0.5608479848324724,0.530877093475641,0.2932439945468827,0.4605463835304471,0.4887784996922838,0.5565454832082917,0.2520402668198053,0.46930483160600295,1,0.7035632449523148,0.4419952591868439
PP2,0.15409544375205175,0.2860135884411385,-0.05739228737355768,0.21818457490492046,0.33674742142307024,0.2556622800017082,0.22756152583590256,0.22057223928174644,0.3482376577244609,0.30286224611450296,0.39529356911834745,0.3559843071721761,0.3818593778183856,0.3937070226362332,0.3558509256060791,0.49057249096921196,0.5005645400026801,0.30980017735954984,0.4904960091728533,0.3722305536484381,0.3890026275626803,0.14117782887868743,0.3738629231103004,0.7035632449523148,1,0.44865557621031377
PP3,0.2642101273257398,0.33536474090019863,0.050493806111038764,0.10176971031430906,0.25482652095013286,0.25499546453889294,0.18441682816508748,0.29148457358379043,0.2852101000806324,0.20655649376192906,0.23031856994827715,0.3455252432581608,0.3194617405000881,0.27361907585454764,0.2909709213860903,0.3976552796220983,0.4641030346973878,0.24140968239638583,0.32594415066058796,0.34683332364251857,0.28731652264884094,0.23545831738184528,0.3351444893226016,0.4419952591868439,0.44865557621031377,1
