Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
APS7,0.0016511266511266512,0.38762626262626265,-0.05574980574980575,0.03360528360528361,0.38073038073038074,0.46085858585858586,0.41618104118104116,0.39015151515151514,0.36344211344211347,0.6256798756798757,0.9182206682206682,0.4314296814296814,0.445998445998446,0.47183372183372185,0.39607614607614605,0.35557498057498055,0.5487567987567987,0.40258352758352756,0.3761655011655012,0.4865967365967366,0.4016122766122766,0.4253108003108003,0.2629176379176379,0.17773892773892774,0.2644716394716395,0.19852369852369853,0.027000777000777
APS9,0.078768453768453775,0.469017094017094,0.04875679875679876,0.015345765345765346,0.2766122766122766,0.34683372183372185,0.44046231546231546,0.38257575757575757,0.6855089355089355,0.3813131313131313,0.4314296814296814,0.9182206682206682,0.6868686868686869,0.633061383061383,0.2612665112665113,0.2702991452991453,0.3113830613830614,0.34916472416472416,0.40355477855477856,0.3735431235431235,0.3711149961149961,0.3614024864024864,0.2230963480963481,0.22785547785547786,0.33343045843045843,0.283993783993784,0.014957264957264958
APS10,0.03535353535353535,0.4425019425019425,-0.014763014763014764,-0.08547008547008547,0.3581973581973582,0.45726495726495725,0.4541569541569542,0.4184149184149184,0.6161616161616161,0.5182595182595182,0.445998445998446,0.6868686868686869,0.9432789432789432,0.6930846930846931,0.27583527583527584,0.3749028749028749,0.4063714063714064,0.3407148407148407,0.44638694638694637,0.4592074592074592,0.29564879564879565,0.4595959595959596,0.20007770007770007,0.27505827505827507,0.2498057498057498,0.2198912198912199,0.024864024864024864
APS14,0.07566045066045066,0.5653651903651904,-0.13383838383838384,-0.20998445998446,0.3620823620823621,0.5278749028749029,0.4086052836052836,0.6016899766899767,0.6722999222999223,0.459013209013209,0.47183372183372185,0.633061383061383,0.6930846930846931,1.1513209013209014,0.5161227661227661,0.4459013209013209,0.5079642579642579,0.3926767676767677,0.5946969696969697,0.664918414918415,0.48144910644910643,0.6426767676767676,0.39170551670551673,0.48892773892773894,0.4468725718725719,0.44794094794094796,0.025835275835275836
APS11,0.03428515928515929,0.2990481740481741,-0.07905982905982906,-0.10392385392385392,0.24553224553224554,0.31866744366744365,0.3136169386169386,0.3551864801864802,0.28185703185703187,0.36926961926961926,0.39607614607614605,0.2612665112665113,0.27583527583527584,0.5161227661227661,1.0207847707847708,0.35091297591297593,0.4042346542346542,0.29535742035742035,0.30623543123543123,0.6893939393939394,0.43191530691530694,0.6257770007770008,0.4400738150738151,0.38752913752913754,0.42297979797979796,0.21484071484071485,0.05264180264180264
APS12,0.007915695415695416,0.37436868686868685,-0.13296425796425795,-0.03428515928515929,0.2397047397047397,0.44614413364413363,0.32512626262626265,0.3835955710955711,0.26583139083139085,0.4528943278943279,0.35557498057498055,0.2702991452991453,0.3749028749028749,0.4459013209013209,0.35091297591297593,0.848436285936286,0.48086635586635584,0.4333236208236208,0.4640151515151515,0.42103729603729606,0.3394036519036519,0.46391802641802643,0.4681915306915307,0.21532634032634032,0.1876942501942502,0.18045843045843046,-0.003010878010878011
APS13,-0.015248640248640248,0.29263791763791763,-0.09188034188034189,0.05574980574980575,0.452991452991453,0.6187839937839937,0.35266122766122765,0.4967948717948718,0.26670551670551673,0.5569153069153069,0.5487567987567987,0.3113830613830614,0.4063714063714064,0.5079642579642579,0.4042346542346542,0.48086635586635584,1.1233488733488735,0.40666278166278164,0.5107808857808858,0.622960372960373,0.5094211344211345,0.5237956487956488,0.4196775446775447,0.19522144522144522,0.16015928515928515,0.2031857031857032,0.01184926184926185
APS15,0.12815656565656566,0.33571289821289824,-0.1216977466977467,0.026709401709401708,0.26612276612276614,0.3123057498057498,0.4111790986790987,0.2186771561771562,0.3175019425019425,0.4276418026418026,0.40258352758352756,0.34916472416472416,0.3407148407148407,0.3926767676767677,0.29535742035742035,0.4333236208236208,0.40666278166278164,0.926524864024864,0.45294289044289043,0.335955710955711,0.30074786324786323,0.31725912975912973,0.23839355089355088,0.17453379953379952,0.23683954933954934,0.16336441336441337,0.03855866355866356
APS16,0.0997960372960373,0.43167249417249415,-0.1488927738927739,-0.1046037296037296,0.3414918414918415,0.40748834498834496,0.33464452214452217,0.38767482517482516,0.38665501165501165,0.48980186480186483,0.3761655011655012,0.40355477855477856,0.44638694638694637,0.5946969696969697,0.30623543123543123,0.4640151515151515,0.5107808857808858,0.45294289044289043,1.090472027972028,0.5620629370629371,0.5365675990675991,0.48703379953379955,0.4648892773892774,0.24912587412587411,0.2387820512820513,0.28613053613053613,0.048659673659673656
APS18,0.05623543123543123,0.5171911421911422,-0.23484848484848486,-0.2092074592074592,0.4801864801864802,0.6995920745920746,0.3930652680652681,0.4152097902097902,0.3117715617715618,0.553030303030303,0.4865967365967366,0.3735431235431235,0.4592074592074592,0.664918414918415,0.6893939393939394,0.42103729603729606,0.622960372960373,0.335955710955711,0.5620629370629371,1.5646853146853146,0.8738344988344988,0.8866550116550117,0.6046037296037297,0.4143356643356643,0.41113053613053613,0.3554778554778555,0.013403263403263404
APS19,0.07114413364413365,0.4370143745143745,-0.172008547008547,-0.09663947163947163,0.36324786324786323,0.44643550893550893,0.403506216006216,0.34425990675990675,0.2978826728826729,0.5443861693861693,0.4016122766122766,0.3711149961149961,0.29564879564879565,0.48144910644910643,0.43191530691530694,0.3394036519036519,0.5094211344211345,0.30074786324786323,0.5365675990675991,0.8738344988344988,1.4230283605283605,0.6442793317793318,0.4644036519036519,0.30099067599067597,0.2421814296814297,0.2562160062160062,0.0033993783993783995
APS20,0.022387334887334888,0.39952408702408704,-0.1723970473970474,-0.1148989898989899,0.44094794094794093,0.5072358197358198,0.1900252525252525,0.4136072261072261,0.3052641802641803,0.4049145299145299,0.4253108003108003,0.3614024864024864,0.4595959595959596,0.6426767676767676,0.6257770007770008,0.46391802641802643,0.5237956487956488,0.31725912975912973,0.48703379953379955,0.8866550116550117,0.6442793317793318,1.3845668220668221,0.6203865578865578,0.456002331002331,0.3810703185703186,0.31371406371406374,0.06827894327894328
APS21,0.07172688422688422,0.380487567987568,-0.02632090132090132,-0.011557886557886558,0.3236208236208236,0.39806721056721056,0.2176087801087801,0.38446969696969696,0.20114607614607616,0.33576146076146074,0.2629176379176379,0.2230963480963481,0.20007770007770007,0.39170551670551673,0.4400738150738151,0.4681915306915307,0.4196775446775447,0.23839355089355088,0.4648892773892774,0.6046037296037297,0.4644036519036519,0.6203865578865578,1.4148698523698524,0.5352564102564102,0.3022047397047397,0.2259129759129759,0.07915695415695416
PP1,0.17453379953379952,0.3709207459207459,0.087995337995338,-0.028554778554778556,0.21212121212121213,0.16054778554778554,0.18036130536130537,0.2840909090909091,0.17074592074592074,0.18822843822843824,0.17773892773892774,0.22785547785547786,0.27505827505827507,0.48892773892773894,0.38752913752913754,0.21532634032634032,0.19522144522144522,0.17453379953379952,0.24912587412587411,0.4143356643356643,0.30099067599067597,0.456002331002331,0.5352564102564102,0.9772727272727273,0.442016317016317,0.30885780885780884,0.11247086247086246
PP2,0.09581390831390832,0.3680555555555556,-0.03952991452991453,-0.10790598290598291,0.1752136752136752,0.11213092463092462,0.2844308469308469,0.2912296037296037,0.2633061383061383,0.25806138306138304,0.2644716394716395,0.33343045843045843,0.2498057498057498,0.4468725718725719,0.42297979797979796,0.1876942501942502,0.16015928515928515,0.23683954933954934,0.2387820512820513,0.41113053613053613,0.2421814296814297,0.3810703185703186,0.3022047397047397,0.442016317016317,0.8880633255633256,0.31371406371406374,0.06827894327894328
PP3,0.2659285159285159,0.23523698523698525,0.006604506604506604,0.016705516705516704,0.14063714063714064,0.11674436674436675,0.15015540015540016,0.27214452214452217,0.23815073815073814,0.14724164724164723,0.19852369852369853,0.283993783993784,0.2198912198912199,0.44794094794094796,0.21484071484071485,0.18045843045843046,0.2031857031857032,0.16336441336441337,0.28613053613053613,0.3554778554778555,0.2562160062160062,0.31371406371406374,0.2259129759129759,0.30885780885780884,0.31371406371406374,0.7637917637917638,-0.026029526029526028
CSR1_bin,0.026903651903651904,0.010392385392385392,-0.015345765345765346,0.009518259518259518,0.0202020202020202,0.015248640248640248,0.0202991452991453,-2.913752913752913e-4,0.0013597513597513598,0.004856254856254856,0.027000777000777,0.014957264957264958,0.024864024864024864,0.025835275835275836,0.05264180264180264,-0.003010878010878011,0.01184926184926185,0.03855866355866356,0.048659673659673656,0.013403263403263404,0.0033993783993783995,0.06827894327894328,0.07915695415695416,0.11247086247086246,0.06827894327894328,-0.026029526029526028,0.18162393162393162
