Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
APS13,-0.017730020016012267,0.22921313776535965,-0.07075857668657964,0.04306782768716769,0.4295732606176618,0.5761661026651779,0.3549525978292967,0.5471702029113888,0.26531179053541365,0.5261152286417182,0.5403175261233618,0.30659433429230054,0.39477145744932224,0.446660588124668,0.37749319220828775,0.4925580807063997,1,0.3986103405275621,0.46149823559128683,0.4698828469339957,0.4029144599839089,0.41999836435979565,0.33288954759192585,0.186321214731073,0.16035142622116125,0.21935540184150176
APS15,0.16407701855016826,0.28953810238872774,-0.10319717550628318,0.022719698093348298,0.2778804856095955,0.3201971047577399,0.4556931098644443,0.2652024550742325,0.34777609450413743,0.4448367483392536,0.4364695287854318,0.3785543922759053,0.36445376548502356,0.3801968144357894,0.3037052196118167,0.48873586163562044,0.3986103405275621,1,0.4506170738216452,0.2790229882951325,0.26191913841887504,0.2801100100681129,0.2082129401793302,0.18341849028088572,0.2610981046000294,0.19419651543475525
APS16,0.11777184159177218,0.3431731865249475,-0.11638048669027384,-0.08201755901846904,0.32868329120018125,0.38510032620216994,0.34185853446688697,0.4333741439356841,0.3903896160611428,0.469636901961674,0.37592236662864764,0.4032939409610201,0.44013322220376017,0.5307503217523645,0.29025591638067944,0.48240886478222816,0.46149823559128683,0.4506170738216452,1,0.43029290017095184,0.43073523694511884,0.3963646151503033,0.37426913891551733,0.24132575917241963,0.2426456143458296,0.31352303762186134
APS18,0.055402831497948765,0.3432446767019232,-0.15324562063859365,-0.1369400862687762,0.3858344344399233,0.5519469495955801,0.33521322036287066,0.3874866495170181,0.26278760319906175,0.4426744647093149,0.40595898376904493,0.31164036957599733,0.37798569210643507,0.49540075387929194,0.5454900921158989,0.36542432008308057,0.4698828469339957,0.2790229882951325,0.43029290017095184,1,0.5856105681406859,0.602398954779157,0.4063488847827759,0.3350664345998965,0.3487741296700558,0.3251708174402876
APS19,0.07349668511907761,0.30412714157945064,-0.11769474235377637,-0.0663307189227198,0.3060559662110869,0.3693328290360503,0.3608389602188942,0.3368855095003247,0.26328149959444247,0.4569296607709161,0.35133925025422097,0.324659558699245,0.2551815473343808,0.37613644255005085,0.35836428984099905,0.30888734520583755,0.4029144599839089,0.26191913841887504,0.43073523694511884,0.5856105681406859,1,0.45899764949709176,0.3272883917306929,0.2552339108382323,0.2154329325348709,0.24576045029305052
APS20,0.023446653747979905,0.2818721986837881,-0.11958774486387411,-0.07995142077716494,0.37664735169576424,0.42542099045251125,0.17227582133998837,0.4103305188864019,0.2735273547388878,0.34455253228866967,0.37720367819914713,0.3205240663573936,0.40216027748026667,0.509023046615466,0.5263753535300437,0.42803045503026776,0.41999836435979565,0.2801100100681129,0.3963646151503033,0.602398954779157,0.45899764949709176,1,0.44324839586310116,0.3920145737476182,0.3436577917516623,0.3050630041363568
APS21,0.07431203488269675,0.2655513174958622,-0.018061604307056937,-0.007955859710289028,0.27345305009512805,0.3302661919704512,0.19515879997131605,0.3773171374260611,0.1782933713713427,0.28263220345005324,0.2306683151230495,0.1957314812846859,0.17318902613225717,0.3069044935237649,0.3661846968088548,0.42732243040779533,0.33288954759192585,0.2082129401793302,0.37426913891551733,0.4063488847827759,0.3272883917306929,0.44324839586310116,1,0.45519317433582634,0.2696007259764333,0.2173178724379021
PP1,0.21757404606915598,0.3114866733781488,0.07265501340340004,-0.02365036470738086,0.21566554640687682,0.1602737468902829,0.1946280589327269,0.3354687797501751,0.18210602969445458,0.1906454279136613,0.18762950561738473,0.2405348744144178,0.2864816145858618,0.4609338397142869,0.38799790549693053,0.2364719608466919,0.186321214731073,0.18341849028088572,0.24132575917241963,0.3350664345998965,0.2552339108382323,0.3920145737476182,0.45519317433582634,1,0.4744696575330658,0.3574894346666048
PP2,0.1252973893934588,0.32423332163087015,-0.03423873578827932,-0.09375414826383552,0.18687473555270911,0.11742738660210651,0.3219768875379108,0.36075820187163943,0.29459196320791653,0.27418904441942316,0.2928758808211305,0.36924087361694485,0.2729357299478847,0.44194022983069653,0.4442532020061146,0.21623171056841647,0.16035142622116125,0.2610981046000294,0.2426456143458296,0.3487741296700558,0.2154329325348709,0.3436577917516623,0.2696007259764333,0.4744696575330658,1,0.3809118953664748
PP3,0.3749841048351735,0.22345205604885968,0.006168317306963003,0.01565090166865182,0.16173987456107922,0.13183004738781126,0.18328353025455912,0.36350866996555986,0.2873070779005643,0.1686911221021882,0.23705621182670703,0.3391156376620799,0.2590599833268885,0.47767782944848636,0.2433111504477709,0.2241713324478807,0.21935540184150176,0.19419651543475525,0.31352303762186134,0.3251708174402876,0.24576045029305052,0.3050630041363568,0.2173178724379021,0.3574894346666048,0.3809118953664748,1
