Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
APS7,0.0686344053751639,0.28700514707543184,-0.05445067653934063,0.06851670037965943,0.3642822826689935,0.4172344950027201,0.4227101407637778,0.43167462783376115,0.3915644168736479,0.5952763930688206,1,0.4573365996492387,0.49162826577792923,0.4505503561784295,0.3682046904350521,0.40485273667553484,0.43277103887856694,0.3882495616052519,0.4469226890929501,0.3627834605254116,0.3484731076865908,0.32778066350830937,0.3226276801917055,0.27039076099115705,0.3480327072766551,0.251208866136958,0.1393858822622929
APS9,0.10426120024790272,0.32297765754531543,-0.024705884581529263,0.041464970151935045,0.3781630073198001,0.4210162365071541,0.43038409884700873,0.5343314572994601,0.6504660950586385,0.45580889247008105,0.4573365996492387,1,0.6785368879323663,0.5927852299770586,0.31485177904791173,0.37469535741344834,0.4082564225198104,0.36963283980296024,0.4413174133795776,0.35417019353139556,0.32282965182649087,0.29619145317948176,0.30155038337865114,0.2841550414761605,0.3118129344963051,0.30856038260314533,0.13865281562193846
APS10,0.09826207386231292,0.3124084484979421,-0.051381144411664706,0.04446488680310893,0.41553178209663844,0.48070461887840216,0.4063180736685046,0.5231956655410884,0.5891611222475168,0.5088531186035556,0.49162826577792923,0.6785368879323663,1,0.6076132424370418,0.3802967344547255,0.4640013762705492,0.4618310546024633,0.3748504373318886,0.46447895935609584,0.4004365091783703,0.3226052212081648,0.31047438671555516,0.27293397067831043,0.33252739229561823,0.2882555562073079,0.270014234369563,0.15497807526045565
APS14,0.11460141881355468,0.3769817766382827,-0.07390292884184713,0.03185230210985235,0.3984652633684647,0.4578521030321361,0.3681175179133607,0.5480157828781965,0.5701854478459008,0.4566452911240517,0.4505503561784295,0.5927852299770586,0.6076132424370418,1,0.43429623866717393,0.5016775290059986,0.5573447957092452,0.4181549345210202,0.5792389464653697,0.5030039148416363,0.41691945732066404,0.4411206761944108,0.3608650349296694,0.40835033576236,0.3543509492017105,0.36112279220974763,0.14221993386768286
APS11,0.14286249714165247,0.2632968512676835,-0.07708885979863193,0.038957157848274714,0.3057945324660866,0.3181619978738175,0.2787017144580729,0.35442673542975023,0.3282305812545125,0.3768118206490983,0.3682046904350521,0.31485177904791173,0.3802967344547255,0.43429623866717393,1,0.4294835767788128,0.44704050420642,0.31000299733513065,0.42614837081138957,0.5620509316742076,0.4417797266453958,0.43468291545330767,0.38192121308169535,0.3844111661458043,0.3665249407992642,0.2931972208142321,0.15575336227106606
APS12,0.167181678031977,0.35235458161595046,-0.06723417890053603,0.03547161156242389,0.3366213864052346,0.42936754173351427,0.3728366625234493,0.39326565337937563,0.3399813251032065,0.4537701255471914,0.40485273667553484,0.37469535741344834,0.4640013762705492,0.5016775290059986,0.4294835767788128,1,0.559554174916917,0.45496818061108796,0.5229033266906445,0.43379635422238555,0.36469283614215914,0.37794326392975564,0.37287582885778403,0.3755729791259444,0.33965607858857444,0.3375196549622727,0.06472219838074336
APS13,0.10906197388730925,0.2637182430779131,-0.01757734788166527,0.12883831834754594,0.4339615073084104,0.5107006723810567,0.34694458063950756,0.4621536077141052,0.3837933010739151,0.47429594783546086,0.43277103887856694,0.4082564225198104,0.4618310546024633,0.5573447957092452,0.44704050420642,0.559554174916917,1,0.42229010141193896,0.5357473854502993,0.5286083401361923,0.44168593063713874,0.3905038527876369,0.3982158245899613,0.34608247962755556,0.32060670209762715,0.32216465168707753,0.11173824916572178
APS15,0.12695626567017476,0.2643934850326189,-0.05625324576377988,0.10613060346948666,0.2969452467862674,0.3636894248060413,0.33838796215298556,0.25788832916188964,0.32278456114915555,0.40766901605401545,0.3882495616052519,0.36963283980296024,0.3748504373318886,0.4181549345210202,0.31000299733513065,0.45496818061108796,0.42229010141193896,1,0.4857551490361395,0.3531958649262519,0.3170966307734995,0.2838267990837503,0.3014940756839138,0.27871745798438274,0.3209657036291126,0.24092945281514372,0.11059979074979495
APS16,0.1972346336783551,0.3671972549437547,-0.0923334850791514,0.06746171161169529,0.3535423266754698,0.3936974128549814,0.36209584895475216,0.3780781917485081,0.3849408939633815,0.4961112933672783,0.4469226890929501,0.4413174133795776,0.46447895935609584,0.5792389464653697,0.42614837081138957,0.5229033266906445,0.5357473854502993,0.4857551490361395,1,0.535761999300274,0.4657694395121721,0.41450373221257536,0.42999585283059405,0.3423251685940077,0.33536824532541054,0.3514623551281062,0.20728777235190837
APS18,0.15707610624433954,0.3735711879215528,-0.07231443337049415,0.08613704944327355,0.37598496951708005,0.48336590804916946,0.3354726993557617,0.37728920244230457,0.30627816502003724,0.40870236337461363,0.3627834605254116,0.35417019353139556,0.4004365091783703,0.5030039148416363,0.5620509316742076,0.43379635422238555,0.5286083401361923,0.3531958649262519,0.535761999300274,1,0.6118858466014279,0.48675950802730433,0.4584495694402407,0.42356980250553833,0.3661843868329016,0.3148240355846465,0.16715863473940978
APS19,0.13608958961370005,0.29497954584410796,-0.06178555947515595,0.06623835204729757,0.3111559556852487,0.3517130124664736,0.2979726674231647,0.287006196226763,0.24297269140858732,0.3839973567156246,0.3484731076865908,0.32282965182649087,0.3226052212081648,0.41691945732066404,0.4417797266453958,0.36469283614215914,0.44168593063713874,0.3170966307734995,0.4657694395121721,0.6118858466014279,1,0.4839885244081082,0.4921898619182034,0.3893791405463726,0.3332798003748747,0.2886284068507964,0.08876902399363029
APS20,0.10489588627950722,0.2508239457895148,-0.10799985190447828,0.07282177290334145,0.2949767056850476,0.2934704226211843,0.23437298295909076,0.27588353919924474,0.2119604676773904,0.33890504473623523,0.32778066350830937,0.29619145317948176,0.31047438671555516,0.4411206761944108,0.43468291545330767,0.37794326392975564,0.3905038527876369,0.2838267990837503,0.41450373221257536,0.48675950802730433,0.4839885244081082,1,0.42986720580680493,0.3085935320263725,0.267174306727403,0.2831255334163235,0.09012815539305481
APS21,0.12942584013129915,0.2918588455738476,-0.09239469835580287,0.027333927759544917,0.2794290847838853,0.3252211974730908,0.23196953468442597,0.3471995714788152,0.26317771256829103,0.35126623523109063,0.3226276801917055,0.30155038337865114,0.27293397067831043,0.3608650349296694,0.38192121308169535,0.37287582885778403,0.3982158245899613,0.3014940756839138,0.42999585283059405,0.4584495694402407,0.4921898619182034,0.42986720580680493,1,0.4250774014179586,0.34507077192691904,0.27549315142922626,0.1028684441990482
PP1,0.204415569500955,0.3122218683951469,0.02061208101590859,0.10073549021147102,0.29468543847334283,0.24922790652169854,0.23023311493968335,0.2772790761790734,0.2754380606589717,0.2969179863074476,0.27039076099115705,0.2841550414761605,0.33252739229561823,0.40835033576236,0.3844111661458043,0.3755729791259444,0.34608247962755556,0.27871745798438274,0.3423251685940077,0.42356980250553833,0.3893791405463726,0.3085935320263725,0.4250774014179586,1,0.525714432350176,0.41596373703794876,0.08211569210976889
PP2,0.13466507593163485,0.2762939717360346,-0.025269973628827505,0.08763251482537418,0.27394268991207366,0.2505143205143435,0.2352478790109223,0.25572218173552014,0.24398339883525327,0.2605153358379143,0.3480327072766551,0.3118129344963051,0.2882555562073079,0.3543509492017105,0.3665249407992642,0.33965607858857444,0.32060670209762715,0.3209657036291126,0.33536824532541054,0.3661843868329016,0.3332798003748747,0.267174306727403,0.34507077192691904,0.525714432350176,1,0.3871286660701017,0.10182567614940577
PP3,0.26838377510572664,0.22979373108132067,0.016197551337890186,0.05325016426085727,0.2346720345108764,0.18810000556771067,0.2086655052240829,0.2577437432609803,0.23140521775348855,0.27603022793167764,0.251208866136958,0.30856038260314533,0.270014234369563,0.36112279220974763,0.2931972208142321,0.3375196549622727,0.32216465168707753,0.24092945281514372,0.3514623551281062,0.3148240355846465,0.2886284068507964,0.2831255334163235,0.27549315142922626,0.41596373703794876,0.3871286660701017,1,0.0031186688519264064
CSR1_bin,0.04005140740952981,0.0788572905754454,-0.01433388619364489,0.11609067937337605,0.16580433502558806,0.12648253064694667,0.12210471917461033,0.1049327802996236,0.09441488126766598,0.1437075279406595,0.1393858822622929,0.13865281562193846,0.15497807526045565,0.14221993386768286,0.15575336227106606,0.06472219838074336,0.11173824916572178,0.11059979074979495,0.20728777235190837,0.16715863473940978,0.08876902399363029,0.09012815539305481,0.1028684441990482,0.08211569210976889,0.10182567614940577,0.0031186688519264064,1
